zone_key,event_count,transformer_events,line_events,avg_transformer_capacity_mva,avg_line_capacity_kv,avg_ev_distance_km,lat,lon,dominant_resource,mean_load_2024_mw,mean_stress,mean_predicted_ev_mw,graph_degree,graph_betweenness
Benkikere,227,8,216,,207.98130841121494,142.5563234,14.0194073,76.0081546,thermal,,,,5,0.002838055848750394
Bennur,12,0,12,,110.0,150.6899819,15.5073831,76.7464859,thermal,,,,1,0.0
Beranahalli,6,0,6,,370.0,113.1130281,13.953454,76.5361476,thermal,,,,2,0.0
Besegarhalli,11,0,11,,94.0,37.10814747,12.655865,77.0071368,thermal,,,,1,0.0
Betageri,13,0,13,,110.0,144.5366165,15.219152,76.0376843,thermal,,,,2,0.0
Bettadapura,13,1,12,,91.66666666666667,92.98497366,12.467808700000003,76.1001823,thermal,,,,3,0.0
Bevoor,6,0,6,,88.0,146.4938292,15.5692644,76.1684153,thermal,,,,2,0.0
Bhaktarahalli,11,0,11,,164.0,30.032652270000003,13.1065683,77.0254039,thermal,,,,3,0.0
Bhalki,9,1,8,,110.0,129.3123647,18.0299162,77.2044421,thermal,,,,2,0.0
Bhanuvalli,30,0,30,,76.62068965517241,102.6805467,14.4281587,75.7737001,thermal,,,,2,0.0
Bharangi,2,1,1,,66.0,45.17457321,14.5433785,75.2529229,thermal,,,,2,0.012127515303706426
Bherya,9,0,9,,66.0,63.69670578,12.5830782,76.351891,thermal,,,,1,0.0
Bhoruka,9,0,9,,80.66666666666667,66.09385304,16.4215248,74.8751834,thermal,,,,3,0.0
Bhutnal,10,0,10,,110.0,7.5260514,16.8806058,75.7162958,thermal,,,,3,0.0
Bidadi,29,0,29,,220.0,10.01328595,12.776162799999998,77.4220063,hydro,,,,4,0.0
Bidarekere,40,0,40,,204.6,157.1483759,14.4336547,76.2881651,thermal,,,,2,0.0
Bidi,21,7,14,15.714285714285714,117.85714285714286,41.77061127,15.570129799999998,74.6454297,thermal,,,,3,0.0
