location_zone_key,outage_events_total,transformer_events_total,line_events_total,avg_nearest_ev_distance_km,avg_transformer_capacity_mva,avg_line_capacity_kv,lat,lon,outage_days,daily_outage_mean,daily_outage_p95,ev_service_gap_score,grid_reliability_stress_score,infra_capacity_pressure_score,priority_score_0_100,recommended_station_action
PG Palya,29,3,26,70.72742481000002,,66.0,11.8956635,77.284807,23,1.2608695652173914,2.0,100.0,11.07,57.233333333333334,58.18,add_incremental_charging_capacity
Shahabad,24,1,23,26.99941441,,143.47826086956522,17.1243948,76.9356325,18,1.3333333333333333,2.299999999999997,100.0,11.369999999999989,56.78333333333334,58.18,add_incremental_charging_capacity
Belur,31,0,31,95.25418694,,84.45161290322581,14.7023761,75.7233609,28,1.1071428571428572,2.0,100.0,10.48,57.983333333333334,58.16,add_incremental_charging_capacity
Maddur,30,1,29,48.49257691,,71.3103448275862,16.8494667,77.5979839,23,1.3043478260869565,2.0,100.0,10.65,57.68333333333334,58.15,add_incremental_charging_capacity
Koppal,29,2,27,148.4932786,,203.7037037037037,15.3666054,75.9908679,25,1.16,2.0,100.0,10.82,57.38333333333333,58.13,add_incremental_charging_capacity
Handanakere,25,3,22,69.05910206,15.0,215.0,13.5009152,76.4638883,18,1.3888888888888888,2.1499999999999986,100.0,11.349999999999994,56.63333333333333,58.13,add_incremental_charging_capacity
Halbarga,28,3,25,113.9656482,,123.2,17.9126622,77.3678013,21,1.3333333333333333,2.0,100.0,10.99,57.083333333333336,58.12,add_incremental_charging_capacity
Kaiga,30,0,30,50.80081335,,400.0,14.8619698,74.4380583,27,1.1111111111111112,2.0,100.0,10.4,57.833333333333336,58.1,add_incremental_charging_capacity
Dibburahalli,30,0,30,45.11674903,,66.0,13.556547,77.9015783,26,1.1538461538461537,2.0,100.0,10.4,57.833333333333336,58.1,add_incremental_charging_capacity
Bhanuvalli,30,0,30,102.6805467,,76.62068965517241,14.4281587,75.7737001,23,1.3043478260869565,2.0,100.0,10.4,57.833333333333336,58.1,add_incremental_charging_capacity
Galaga,19,0,19,70.01094908,,110.0,16.2551225,76.8293582,11,1.7272727272727273,2.5,100.0,11.52,56.18333333333334,58.08,add_incremental_charging_capacity
Sovenahalli,23,8,15,127.87331080000001,,79.2,15.1194569,75.9155,20,1.15,2.0,100.0,11.84,55.583333333333336,58.04,add_incremental_charging_capacity
